date,mean,std,ci_hi_95,ci_low_95,aor,var,sim_type,runtime_stamp,description,forecast_start,agency,criminality
2022-12-20 00:00:00,4.5544716061509884,2.212881682172894,7.3021271231896545,1.8068160891123206,USA,alos_rate,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.831159351367922,1.8886929161619,6.4101461438131,3.2521725589227435,USA,population,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,5.44024411177964,2.257308768486193,7.327401468812296,3.5530867547469853,USA,releases,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.786498165220722,2.5667220368184607,6.622620499965899,2.950375830475546,USA,beds_in_use,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,3.814010199473881,0.8946465817073241,4.924860651095931,2.703159747851835,USA,los,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,5.742441871363304,2.394494462800953,7.956979894655855,3.5279038480707525,USA,ice_pend,full_fact,1,25%-forecast,2022-12-20 00:00:00,ice,pend
2022-12-20 00:00:00,5.163666287375826,1.3435957471150444,6.406285101553376,3.9210474731982763,USA,ice_crim,full_fact,1,25%-forecast,2022-12-20 00:00:00,ice,crim
2022-12-20 00:00:00,3.896161195680004,1.2242173816005635,4.919632539320818,2.872689852039187,USA,ice_other,full_fact,1,25%-forecast,2022-12-20 00:00:00,ice,other
2022-12-20 00:00:00,5.407050117195426,1.9061991271967205,7.000672468324178,3.8134277660666713,USA,cbp_pend,full_fact,1,25%-forecast,2022-12-20 00:00:00,cbp,pend
2022-12-20 00:00:00,3.725014305616111,1.629485322848282,5.748287566598259,1.7017410446339616,USA,cbp_crim,full_fact,1,25%-forecast,2022-12-20 00:00:00,cbp,crim
2022-12-20 00:00:00,4.754927020849846,2.68956763955754,7.5774551577124445,1.9323988839872488,USA,cbp_other,full_fact,1,25%-forecast,2022-12-20 00:00:00,cbp,other
2022-12-20 00:00:00,5.078142666605709,1.4911494895490096,6.224341629641575,3.931943703569844,USA,bookin_rate,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,3.3943044961236293,0.9553370436348209,4.27784389914002,2.5107650931072385,USA,arrival_time,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.144212663124929,2.036062081644073,5.846403161116314,2.4420221651335416,USA,releases_dt,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow_dt,full_fact,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.773808717390301,1.5399175046741553,6.389853029295051,3.157764405485554,USA,alos_rate,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.391300122509932,1.709645042633179,5.614306510516088,3.1682937345037763,USA,population,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.171416591270678,1.3021843594831384,5.172364097192779,3.170469085348576,USA,releases,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.989003112906239,0.7924151121072605,5.820591773143773,4.157414452668709,USA,beds_in_use,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.567792663643948,1.344928102922938,5.692180695775281,3.4434046315126126,USA,los,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.146865865337997,1.8494226747257818,5.693021914345131,2.6007098163308626,USA,ice_pend,alos_span,1,25%-forecast,2022-12-20 00:00:00,ice,pend
2022-12-20 00:00:00,4.174318332834431,1.150064589979632,5.381237101741419,2.967399563927445,USA,ice_crim,alos_span,1,25%-forecast,2022-12-20 00:00:00,ice,crim
2022-12-20 00:00:00,4.338444263862906,2.3205218434033674,6.484569024613652,2.192319503112159,USA,ice_other,alos_span,1,25%-forecast,2022-12-20 00:00:00,ice,other
2022-12-20 00:00:00,5.703295339211028,2.2405783062904345,7.576465679819494,3.8301249986025585,USA,cbp_pend,alos_span,1,25%-forecast,2022-12-20 00:00:00,cbp,pend
2022-12-20 00:00:00,5.179412586484002,1.9354442975003088,6.667126770981678,3.691698401986322,USA,cbp_crim,alos_span,1,25%-forecast,2022-12-20 00:00:00,cbp,crim
2022-12-20 00:00:00,5.475303308429712,3.2592241679728726,8.489582922994826,2.4610236938645964,USA,cbp_other,alos_span,1,25%-forecast,2022-12-20 00:00:00,cbp,other
2022-12-20 00:00:00,4.650917546781338,1.3895624143389467,5.9360484377052645,3.36578665585741,USA,bookin_rate,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.662543591511759,1.7606713866233972,6.015915424274828,3.30917175874869,USA,arrival_time,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,5.291176167397981,1.6985531058847438,7.07369833296945,3.5086540018265144,USA,releases_dt,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow_dt,alos_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.149818484401605,2.1588642294822202,6.14643488823414,2.1532020805690713,USA,alos_rate,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.397426820194861,1.855385716258703,6.113372411366745,2.6814812290229764,USA,population,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,5.3083974246014325,2.394106974736998,7.52257708120551,3.094217767997351,USA,releases,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.758230916785268,1.9208943502839033,6.364138781862922,3.152323051707613,USA,beds_in_use,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,3.5157226750969217,1.171687999736497,4.97056548149711,2.0608798686967305,USA,los,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.220398615735091,0.8680781236433499,5.023236977594546,3.417560253875636,USA,ice_pend,bi_span,1,25%-forecast,2022-12-20 00:00:00,ice,pend
2022-12-20 00:00:00,3.7442132017073906,1.2637918080487118,4.800769593820354,2.687656809594427,USA,ice_crim,bi_span,1,25%-forecast,2022-12-20 00:00:00,ice,crim
2022-12-20 00:00:00,4.385515384427879,1.6007362880537344,6.37309200392253,2.397938764933226,USA,ice_other,bi_span,1,25%-forecast,2022-12-20 00:00:00,ice,other
2022-12-20 00:00:00,4.722117004943127,1.6915115302052246,6.286504251884372,3.1577297580018815,USA,cbp_pend,bi_span,1,25%-forecast,2022-12-20 00:00:00,cbp,pend
2022-12-20 00:00:00,5.577795690093953,2.404833478969017,7.426314339087277,3.7292770411006284,USA,cbp_crim,bi_span,1,25%-forecast,2022-12-20 00:00:00,cbp,crim
2022-12-20 00:00:00,4.3004291994014725,1.0742390839511236,5.427773979868997,3.17308441893395,USA,cbp_other,bi_span,1,25%-forecast,2022-12-20 00:00:00,cbp,other
2022-12-20 00:00:00,5.185717088577622,2.3169366583577524,6.966672260303987,3.404761916851255,USA,bookin_rate,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,3.8163801749158095,2.25680862893659,5.90358004015528,1.7291803096763378,USA,arrival_time,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,4.414359385796745,1.5726646858430524,6.367080507454494,2.4616382641389936,USA,releases_dt,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-20 00:00:00,0,0,0,0,USA,overflow_dt,bi_span,1,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.151851641334449,1.1901829087568743,5.146869453621303,3.156833829047598,USA,alos_rate,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.75417360865392,2.4925925298793543,6.83803311273099,2.6703141045768466,USA,population,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.099940449038246,2.086973286652257,6.030068820051913,2.1698120780245786,USA,releases,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.215505846264838,1.356722564358985,7.585791532771612,0.8452201597580662,USA,beds_in_use,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.6491592892122675,0.708124792707274,5.304065493026183,3.9942530853983502,USA,los,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,0,0,0,0,USA,overflow,full_fact,2,25%-forecast,2022-12-20 00:00:00,,
2022-12-21 00:00:00,4.524609554743151,2.1325140657856068,7.91791530955562,1.131303799930678,USA,ice_pend,full_fact,2,25%-forecast,2022-12-20 00:00:00,ice,pend
2022-12-21 00:00:00,5.067332582223011,1.7948842543467405,6.567893370760628,3.5667717936853895,USA,ice_crim,full_fact,2,25%-forecast,2022-12-20 00:00:00,ice,crim
2022-12-21 00:00:00,3.9496324673057295,1.441871754446304,5.155067420329775,2.7441975142816806,USA,ice_other,full_fact,2,25%-forecast,2022-12-20 00:00:00,ice,other
2022-12-21 00:00:00,5.821226157891803,1.5712069762363032,7.134788062235906,4.507664253547695,USA,cbp_pend,full_fact,2,25%-forecast,2022-12-20 00:00:00,cbp,pend
